Timestamp,Marker_0_X_mm,Marker_0_Y_mm,Marker_1_X_mm,Marker_1_Y_mm,Marker_2_X_mm,Marker_2_Y_mm,Marker_3_X_mm,Marker_3_Y_mm,Marker_4_X_mm,Marker_4_Y_mm,Marker_5_X_mm,Marker_5_Y_mm,Marker_6_X_mm,Marker_6_Y_mm,Marker_7_X_mm,Marker_7_Y_mm
2025-03-11 17:03:48.443505,,,,,,,,,,,,,,,,
2025-03-11 17:03:48.521405,,,,,,,,,,,,,,,,
2025-03-11 17:03:48.568552,,,,,,,,,,,,,,,,
2025-03-11 17:03:48.615155,,,,,,,,,,,,,,,,
2025-03-11 17:03:48.665549,,,,,,,,,,,,,,,,
2025-03-11 17:03:48.707638,,,,,,,,,,,,,,,,
2025-03-11 17:03:48.759039,,,,,,,,,,,,,,,,
2025-03-11 17:03:48.804310,,,,,,,,,,,,,,,,
2025-03-11 17:03:48.855333,,,,,,,,,,,,,,,,
2025-03-11 17:03:48.933235,20,50,,,,,,,,,,,,,,
2025-03-11 17:03:49.032675,70,28,,,,,,,,,,,,,,
2025-03-11 17:03:49.106845,,,,,,,,,,,,,,,,
2025-03-11 17:03:49.171352,679,486,682,402,,,,,,,,,,,,
2025-03-11 17:03:49.254040,441,540,675,413,,,,,,,,,,,,
2025-03-11 17:03:49.346449,590,388,663,408,,,,,,,,,,,,
2025-03-11 17:03:49.456408,479,628,1088,620,,,,,,,,,,,,
2025-03-11 17:03:49.536034,482,620,1086,634,,,,,,,,,,,,
2025-03-11 17:03:49.613182,580,526,1086,639,,,,,,,,,,,,
2025-03-11 17:03:49.691308,578,534,1088,633,,,,,,,,,,,,
2025-03-11 17:03:49.769827,577,546,1093,633,,,,,,,,,,,,
2025-03-11 17:03:49.844290,569,546,1090,620,,,,,,,,,,,,
2025-03-11 17:03:49.906456,555,547,1093,635,,,,,,,,,,,,
2025-03-11 17:03:49.972048,550,551,,,,,,,,,,,,,,
2025-03-11 17:03:50.051894,360,121,14,8,,,,,,,,,,,,
2025-03-11 17:03:50.128462,355,116,28,18,,,,,,,,,,,,
2025-03-11 17:03:50.208823,351,113,33,27,,,,,,,,,,,,
2025-03-11 17:03:50.286941,331,98,35,18,,,,,,,,,,,,
2025-03-11 17:03:50.367521,335,97,49,6,,,,,,,,,,,,
2025-03-11 17:03:50.442621,333,110,52,2,,,,,,,,,,,,
2025-03-11 17:03:50.520938,338,107,47,12,,,,,,,,,,,,
2025-03-11 17:03:50.600306,352,95,55,13,,,,,,,,,,,,
2025-03-11 17:03:50.675400,361,105,,,,,,,,,,,,,,
2025-03-11 17:03:50.739431,361,115,,,,,,,,,,,,,,
2025-03-11 17:03:50.803923,354,119,,,,,,,,,,,,,,
2025-03-11 17:03:50.869256,356,125,4,13,,,,,,,,,,,,
2025-03-11 17:03:50.948273,359,136,19,16,,,,,,,,,,,,
2025-03-11 17:03:51.028647,355,140,23,21,,,,,,,,,,,,
2025-03-11 17:03:51.108517,,,28,24,,,,,,,,,,,,
2025-03-11 17:03:51.166401,,,28,16,,,,,,,,,,,,
2025-03-11 17:03:51.232605,,,,,,,,,,,,,,,,
2025-03-11 17:03:51.295475,0,2,2,4,,,,,,,,,,,,
2025-03-11 17:03:51.374027,,,,,,,,,,,,,,,,
2025-03-11 17:03:51.442266,,,,,,,,,,,,,,,,
2025-03-11 17:03:51.499565,,,,,,,,,,,,,,,,
2025-03-11 17:03:51.545024,,,,,,,,,,,,,,,,
2025-03-11 17:03:51.594449,,,,,,,,,,,,,,,,
2025-03-11 17:03:51.642577,,,,,,,,,,,,,,,,
2025-03-11 17:03:51.695668,,,,,,,,,,,,,,,,
2025-03-11 17:03:51.752801,,,,,,,,,,,,,,,,
2025-03-11 17:03:51.801000,,,,,,,,,,,,,,,,
2025-03-11 17:03:51.853206,,,,,,,,,,,,,,,,
2025-03-11 17:03:51.915680,,,,,,,,,,,,,,,,
2025-03-11 17:03:51.977637,8,5,,,,,,,,,,,,,,
2025-03-11 17:03:52.084702,328,628,185,513,,,,,,,,,,,,
2025-03-11 17:03:52.192550,325,638,331,600,184,522,,,,,,,,,,
2025-03-11 17:03:52.292395,,,324,605,173,521,,,,,,,,,,
2025-03-11 17:03:52.371354,12,9,321,597,176,524,,,,,,,,,,
2025-03-11 17:03:52.477527,25,13,331,595,176,510,,,,,,,,,,
2025-03-11 17:03:52.587088,31,20,331,596,176,519,,,,,,,,,,
2025-03-11 17:03:52.700056,34,34,331,607,,,,,,,,,,,,
2025-03-11 17:03:52.791428,,,331,604,,,,,,,,,,,,
2025-03-11 17:03:52.853862,,,322,596,,,,,,,,,,,,
2025-03-11 17:03:52.917198,6,0,321,601,7,2,,,,,,,,,,
2025-03-11 17:03:53.011836,,,312,604,12,13,,,,,,,,,,
2025-03-11 17:03:53.091472,,,325,610,20,14,,,,,,,,,,
2025-03-11 17:03:53.173069,,,322,620,18,13,,,,,,,,,,
2025-03-11 17:03:53.244788,,,317,623,21,7,,,,,,,,,,
2025-03-11 17:03:53.326182,,,311,636,21,8,,,,,,,,,,
2025-03-11 17:03:53.406472,,,311,642,18,7,,,,,,,,,,
2025-03-11 17:03:53.485337,,,322,642,,,,,,,,,,,,
2025-03-11 17:03:53.549428,0,4,322,642,0,0,,,,,,,,,,
2025-03-11 17:03:53.643587,,,326,636,,,,,,,,,,,,
2025-03-11 17:03:53.710826,,,323,642,,,,,,,,,,,,
2025-03-11 17:03:53.782696,,,318,642,,,,,,,,,,,,
2025-03-11 17:03:53.845307,,,316,642,,,,,,,,,,,,
2025-03-11 17:03:53.909050,,,308,642,,,,,,,,,,,,
2025-03-11 17:03:53.973862,,,308,642,,,,,,,,,,,,
2025-03-11 17:03:54.037358,,,307,642,,,,,,,,,,,,
2025-03-11 17:03:54.098489,,,308,642,,,,,,,,,,,,
2025-03-11 17:03:54.160044,,,305,636,8,1,,,,,,,,,,
2025-03-11 17:03:54.242453,,,307,645,0,9,,,,,,,,,,
2025-03-11 17:03:54.319558,,,305,646,,,,,,,,,,,,
2025-03-11 17:03:54.382437,,,315,642,9,7,,,,,,,,,,
2025-03-11 17:03:54.464298,,,310,643,,,,,,,,,,,,
2025-03-11 17:03:54.530723,,,308,642,,,,,,,,,,,,
2025-03-11 17:03:54.587177,,,303,635,,,,,,,,,,,,
2025-03-11 17:03:54.652767,,,302,642,,,,,,,,,,,,
2025-03-11 17:03:54.712203,,,301,643,,,,,,,,,,,,
2025-03-11 17:03:54.781435,,,303,645,,,,,,,,,,,,
2025-03-11 17:03:54.844290,,,302,645,,,,,,,,,,,,
2025-03-11 17:03:54.904158,,,296,645,,,,,,,,,,,,
2025-03-11 17:03:54.968915,,,290,642,,,,,,,,,,,,
2025-03-11 17:03:55.041471,,,292,642,,,,,,,,,,,,
2025-03-11 17:03:55.113639,,,294,642,,,,,,,,,,,,
2025-03-11 17:03:55.177300,,,292,644,10,7,,,,,,,,,,
2025-03-11 17:03:55.254783,,,291,641,10,9,,,,,,,,,,
2025-03-11 17:03:55.334009,,,296,643,9,8,,,,,,,,,,
2025-03-11 17:03:55.415504,,,294,642,4,6,,,,,,,,,,
2025-03-11 17:03:55.492423,,,289,643,,,,,,,,,,,,
2025-03-11 17:03:55.556953,,,289,639,,,,,,,,,,,,
2025-03-11 17:03:55.618833,,,290,636,0,8,,,,,,,,,,
2025-03-11 17:03:55.684833,,,291,635,1,15,,,,,,,,,,
2025-03-11 17:03:55.762514,721,642,290,639,6,19,,,,,,,,,,
2025-03-11 17:03:55.843181,717,645,291,641,16,19,,,,,,,,,,
2025-03-11 17:03:55.923903,719,645,291,641,6,24,,,,,,,,,,
2025-03-11 17:03:56.014318,723,645,289,640,3,21,,,,,,,,,,
2025-03-11 17:03:56.097796,722,641,287,636,11,25,,,,,,,,,,
2025-03-11 17:03:56.188658,720,628,292,640,19,21,,,,,,,,,,
2025-03-11 17:03:56.269100,723,621,302,642,20,16,,,,,,,,,,
2025-03-11 17:03:56.342804,727,628,292,645,27,14,,,,,,,,,,
2025-03-11 17:03:56.425626,733,630,296,639,27,14,,,,,,,,,,
2025-03-11 17:03:56.501905,735,638,289,637,,,,,,,,,,,,
2025-03-11 17:03:56.582086,733,625,290,642,,,,,,,,,,,,
2025-03-11 17:03:56.664514,733,621,289,642,,,,,,,,,,,,
2025-03-11 17:03:56.755200,779,426,303,640,,,,,,,,,,,,
2025-03-11 17:03:56.833505,787,414,309,629,,,,,,,,,,,,
2025-03-11 17:03:56.913622,788,411,308,631,8,0,,,,,,,,,,
2025-03-11 17:03:57.014159,789,412,308,630,9,0,,,,,,,,,,
2025-03-11 17:03:57.103989,796,418,312,634,17,0,,,,,,,,,,
2025-03-11 17:03:57.206742,805,412,301,638,7,0,,,,,,,,,,
2025-03-11 17:03:57.289896,807,412,302,638,,,,,,,,,,,,
2025-03-11 17:03:57.371522,811,419,304,641,,,,,,,,,,,,
2025-03-11 17:03:57.449772,813,420,305,642,,,,,,,,,,,,
2025-03-11 17:03:57.530283,818,422,306,642,8,2,,,,,,,,,,
2025-03-11 17:03:57.625258,818,423,305,643,6,0,,,,,,,,,,
2025-03-11 17:03:57.716682,817,427,306,644,8,1,,,,,,,,,,
2025-03-11 17:03:57.811926,819,427,307,645,10,0,,,,,,,,,,
2025-03-11 17:03:57.904841,819,428,307,645,17,5,,,,,,,,,,
2025-03-11 17:03:58.005300,807,425,302,646,15,6,,,,,,,,,,
2025-03-11 17:03:58.096625,804,423,301,645,14,14,,,,,,,,,,
2025-03-11 17:03:58.182055,790,413,293,641,10,15,,,,,,,,,,
2025-03-11 17:03:58.278147,787,410,291,639,9,11,,,,,,,,,,
2025-03-11 17:03:58.371105,773,402,285,634,16,9,,,,,,,,,,
2025-03-11 17:03:58.459318,763,396,282,630,18,15,,,,,,,,,,
2025-03-11 17:03:58.548095,762,396,83,35,18,17,,,,,,,,,,
2025-03-11 17:03:58.633607,759,400,88,35,11,20,,,,,,,,,,
2025-03-11 17:03:58.728876,757,400,87,35,20,17,,,,,,,,,,
2025-03-11 17:03:58.819388,752,398,76,39,20,23,,,,,,,,,,
