Timestamp,Marker_0_X_mm,Marker_0_Y_mm,Marker_1_X_mm,Marker_1_Y_mm,Marker_2_X_mm,Marker_2_Y_mm,Marker_3_X_mm,Marker_3_Y_mm,Marker_4_X_mm,Marker_4_Y_mm,Marker_5_X_mm,Marker_5_Y_mm,Marker_6_X_mm,Marker_6_Y_mm,Marker_7_X_mm,Marker_7_Y_mm
2025-03-11 15:15:02.978732,,,,,,,,,,,,,,,,
2025-03-11 15:15:03.219787,731,563,723,479,556,428,632,416,797,387,874,373,694,318,661,228
2025-03-11 15:15:03.451166,732,564,724,479,556,429,632,416,797,388,875,373,694,318,662,228
2025-03-11 15:15:03.673796,732,564,724,479,556,429,632,416,797,387,875,373,694,319,661,228
2025-03-11 15:15:03.910548,732,564,724,479,556,429,633,416,797,388,875,373,695,319,661,228
2025-03-11 15:15:04.130283,732,564,724,479,556,429,633,416,797,388,875,373,695,319,661,228
2025-03-11 15:15:04.363429,731,564,724,479,556,429,633,416,797,388,875,373,695,319,661,229
2025-03-11 15:15:04.600061,731,564,724,479,556,429,633,416,797,388,874,373,695,318,661,229
2025-03-11 15:15:04.841075,731,564,724,479,556,429,633,416,797,388,874,373,695,318,661,229
2025-03-11 15:15:05.074731,731,564,724,479,556,429,633,416,797,388,874,373,695,318,661,229
2025-03-11 15:15:05.310053,731,564,724,479,556,429,632,416,797,388,874,373,695,318,661,229
2025-03-11 15:15:05.548001,731,564,724,479,556,429,632,416,797,388,874,373,695,318,661,229
2025-03-11 15:15:05.801423,731,564,724,479,556,429,632,416,797,388,874,373,695,318,661,229
2025-03-11 15:15:06.050299,731,564,724,479,556,429,633,416,797,388,874,373,695,318,661,229
2025-03-11 15:15:06.334907,731,564,724,479,556,429,633,416,797,388,874,373,695,318,661,229
2025-03-11 15:15:06.619906,731,564,724,479,556,429,633,416,797,388,874,373,695,318,661,228
2025-03-11 15:15:06.914121,731,564,724,479,556,429,633,416,797,388,874,373,695,318,661,228
2025-03-11 15:15:07.202337,731,564,724,479,556,429,633,416,797,388,874,373,695,318,661,228
2025-03-11 15:15:07.500064,733,564,724,479,556,429,632,416,797,388,874,373,695,318,661,228
2025-03-11 15:15:07.784705,735,563,724,479,556,429,632,416,797,388,875,373,695,318,661,229
2025-03-11 15:15:08.072196,744,561,726,479,556,429,633,416,797,387,875,373,694,318,661,229
2025-03-11 15:15:08.363801,747,560,726,479,556,429,633,416,797,387,875,373,694,318,661,229
2025-03-11 15:15:08.664872,754,560,728,479,556,429,633,416,797,387,875,373,694,319,661,229
2025-03-11 15:15:08.951235,760,557,730,479,556,429,633,417,797,386,875,373,693,319,661,229
2025-03-11 15:15:09.237704,766,555,731,478,557,429,633,417,797,385,875,373,693,319,661,228
2025-03-11 15:15:09.527042,769,553,732,478,557,429,633,417,797,385,875,373,692,319,660,228
2025-03-11 15:15:09.828006,776,550,733,478,557,428,634,418,797,385,875,373,692,319,660,228
2025-03-11 15:15:10.121514,784,545,736,477,557,429,634,418,797,384,875,373,691,319,660,228
2025-03-11 15:15:10.419251,790,543,737,476,557,430,634,418,797,384,875,373,691,320,659,228
2025-03-11 15:15:10.748153,793,540,737,475,557,429,633,419,797,384,875,372,691,319,659,228
2025-03-11 15:15:11.052092,799,535,740,474,557,430,634,419,797,383,875,372,691,320,658,228
2025-03-11 15:15:11.349714,803,531,741,474,557,430,635,420,797,382,875,372,690,320,659,228
2025-03-11 15:15:11.636788,804,530,740,474,557,430,635,420,797,381,875,372,690,319,658,228
2025-03-11 15:15:11.920201,803,531,740,474,557,430,634,420,797,382,874,372,690,319,658,228
2025-03-11 15:15:12.218968,797,536,740,475,557,430,634,420,797,383,874,372,690,319,658,228
2025-03-11 15:15:12.517386,793,540,739,475,557,430,634,420,797,383,874,372,690,319,658,228
2025-03-11 15:15:12.846836,781,548,735,477,557,430,634,419,797,384,874,373,691,319,659,228
2025-03-11 15:15:13.145939,761,557,730,479,557,431,634,418,797,385,874,373,692,320,660,228
2025-03-11 15:15:13.434318,750,560,728,479,557,431,634,418,797,386,875,372,693,319,660,228
2025-03-11 15:15:13.730657,744,561,726,479,557,430,634,417,797,386,875,372,693,318,661,228
2025-03-11 15:15:14.020804,734,563,725,479,557,431,634,417,797,386,875,373,694,319,661,228
2025-03-11 15:15:14.299650,727,564,723,479,557,431,633,416,797,387,875,373,695,319,661,228
2025-03-11 15:15:14.581870,719,564,720,479,557,431,633,416,797,388,875,373,695,319,661,228
2025-03-11 15:15:14.881041,714,563,719,479,557,430,633,416,797,388,875,373,695,318,662,229
2025-03-11 15:15:15.171947,709,563,719,479,557,430,633,416,797,388,875,373,696,318,662,229
2025-03-11 15:15:15.458299,701,562,718,479,557,431,632,416,797,388,874,373,696,318,662,229
2025-03-11 15:15:15.771959,693,560,716,479,557,431,633,415,797,388,874,373,697,318,662,229
2025-03-11 15:15:16.066801,684,557,713,479,557,431,633,415,798,389,874,373,698,317,663,229
2025-03-11 15:15:16.341888,680,556,712,478,556,430,632,414,797,389,874,373,698,317,663,228
2025-03-11 15:15:16.639329,673,553,710,478,556,429,631,413,797,389,874,373,698,317,663,228
2025-03-11 15:15:16.961278,670,552,710,478,556,428,631,413,797,390,874,373,698,317,663,228
2025-03-11 15:15:17.241861,668,552,709,478,555,426,631,412,797,391,874,375,698,317,663,227
2025-03-11 15:15:17.524048,668,552,709,478,556,426,631,412,797,391,874,375,698,317,664,228
2025-03-11 15:15:17.823156,672,554,709,478,555,427,631,412,797,391,874,375,698,317,664,228
2025-03-11 15:15:18.105864,687,558,712,479,555,426,631,413,797,390,874,375,698,317,664,228
2025-03-11 15:15:18.386310,698,561,714,479,555,426,631,413,796,390,874,375,698,317,663,228
2025-03-11 15:15:18.686211,712,563,717,479,555,426,632,413,797,389,874,375,697,317,663,228
2025-03-11 15:15:18.975684,712,563,717,479,556,427,632,414,797,389,874,375,696,317,663,228
2025-03-11 15:15:19.279211,712,563,718,479,556,426,632,414,797,389,874,375,697,317,663,228
2025-03-11 15:15:19.565668,712,563,718,479,556,426,631,414,796,389,874,375,697,318,663,228
2025-03-11 15:15:19.858854,712,563,717,479,555,426,631,414,797,389,874,375,696,317,663,228
2025-03-11 15:15:20.127765,712,563,718,479,555,427,631,414,797,389,874,374,697,317,663,228
2025-03-11 15:15:20.426983,712,563,718,479,555,426,632,413,797,389,874,374,697,317,663,227
2025-03-11 15:15:20.728566,712,563,717,479,555,426,632,413,797,388,874,374,697,317,663,228
