Timestamp,Marker_0_X_mm,Marker_0_Y_mm,Marker_1_X_mm,Marker_1_Y_mm,Marker_2_X_mm,Marker_2_Y_mm,Marker_3_X_mm,Marker_3_Y_mm,Marker_4_X_mm,Marker_4_Y_mm,Marker_5_X_mm,Marker_5_Y_mm,Marker_6_X_mm,Marker_6_Y_mm,Marker_7_X_mm,Marker_7_Y_mm
2025-03-11 15:39:00.950849,,,,,,,,,,,,,,,,
2025-03-11 15:39:01.184329,731,564,722,479,555,428,630,415,796,390,874,381,695,318,660,229
2025-03-11 15:39:01.424546,731,564,723,480,556,429,630,416,797,390,874,381,695,319,661,230
2025-03-11 15:39:01.659411,731,564,723,480,556,429,630,416,797,390,874,381,696,319,661,229
2025-03-11 15:39:01.898950,731,564,723,480,555,429,631,416,797,391,874,381,695,319,661,229
2025-03-11 15:39:02.145174,731,564,723,480,556,429,631,416,797,391,874,381,695,319,661,229
2025-03-11 15:39:02.384683,731,564,723,480,556,429,631,415,797,391,874,381,695,319,661,229
2025-03-11 15:39:02.621006,731,564,723,480,556,429,631,415,797,391,874,381,695,319,661,229
2025-03-11 15:39:02.860059,731,564,723,480,556,429,630,415,797,391,874,381,695,319,661,229
2025-03-11 15:39:03.103498,731,564,723,480,556,429,630,415,797,391,874,381,695,319,661,229
2025-03-11 15:39:03.350520,731,564,723,480,556,429,631,415,797,391,874,381,695,319,661,229
2025-03-11 15:39:03.589631,731,564,723,480,556,428,631,415,797,391,874,381,695,319,661,229
2025-03-11 15:39:03.826217,731,564,723,480,556,429,631,415,797,391,874,381,695,318,661,230
2025-03-11 15:39:04.084326,731,564,723,480,556,429,631,415,797,391,874,381,695,318,661,230
2025-03-11 15:39:04.324661,731,564,723,480,556,428,631,415,797,391,874,381,695,318,661,230
2025-03-11 15:39:04.576329,731,564,723,480,555,428,630,416,797,391,874,381,695,318,661,230
2025-03-11 15:39:04.827134,731,564,723,479,555,428,630,416,797,391,874,381,695,318,661,230
2025-03-11 15:39:05.082452,731,564,723,479,555,428,630,416,797,391,874,382,695,318,661,230
2025-03-11 15:39:05.340407,731,564,723,479,555,428,630,416,797,391,874,382,695,318,661,230
2025-03-11 15:39:05.594226,731,564,723,479,555,428,631,415,797,391,874,382,695,318,661,230
2025-03-11 15:39:05.839022,731,564,723,479,555,428,631,415,797,391,874,382,695,318,661,230
2025-03-11 15:39:06.092815,731,564,723,479,555,428,631,415,797,391,875,382,695,318,661,230
2025-03-11 15:39:06.367459,731,564,723,479,555,428,631,415,797,391,875,382,695,318,661,230
2025-03-11 15:39:06.617119,731,564,723,479,555,428,631,415,797,391,875,381,695,318,661,230
2025-03-11 15:39:06.873148,731,564,723,479,555,428,631,416,797,391,875,381,695,318,661,230
2025-03-11 15:39:07.141053,731,564,723,479,555,428,631,416,797,391,875,381,695,319,661,230
2025-03-11 15:39:07.375691,731,564,723,479,555,428,630,416,797,391,875,381,695,319,661,230
2025-03-11 15:39:07.612685,732,564,723,479,555,428,630,415,797,391,875,381,695,319,661,230
2025-03-11 15:39:07.870284,732,564,723,479,555,429,630,415,797,391,875,381,695,319,661,230
2025-03-11 15:39:08.116177,732,564,723,480,555,429,630,415,797,390,875,381,695,319,661,230
2025-03-11 15:39:08.370289,732,564,723,480,555,429,630,415,797,391,875,381,695,319,661,230
2025-03-11 15:39:08.624649,732,564,723,480,555,429,630,415,797,390,875,381,696,319,661,230
2025-03-11 15:39:08.879427,732,564,723,480,556,429,631,415,797,390,875,381,696,319,661,230
2025-03-11 15:39:09.133514,732,564,723,480,556,429,631,415,797,390,875,381,696,318,661,230
2025-03-11 15:39:09.388321,732,564,723,480,556,429,631,415,797,390,875,381,696,318,661,230
2025-03-11 15:39:09.637973,732,564,723,479,556,429,630,415,797,390,875,381,696,318,660,230
2025-03-11 15:39:09.888491,732,564,723,479,556,429,631,415,797,390,874,382,696,318,660,230
2025-03-11 15:39:10.143656,732,564,723,479,556,429,631,415,797,390,874,382,696,318,660,230
2025-03-11 15:39:10.397781,732,564,723,479,556,429,631,415,797,390,874,382,696,318,660,230
2025-03-11 15:39:10.649840,732,564,723,479,556,428,631,415,797,390,874,382,696,318,660,230
2025-03-11 15:39:10.907321,732,564,723,479,556,428,630,416,797,390,874,382,696,318,660,230
2025-03-11 15:39:11.156797,732,564,723,479,556,428,630,416,797,390,874,382,696,318,660,230
2025-03-11 15:39:11.410636,732,564,723,479,556,428,631,416,797,390,874,382,696,318,660,230
2025-03-11 15:39:11.666630,732,564,723,479,556,428,631,416,797,390,874,382,696,318,660,230
2025-03-11 15:39:11.948546,732,564,723,479,555,428,631,415,797,390,874,382,696,318,660,230
2025-03-11 15:39:12.223338,731,564,723,479,555,428,631,415,797,390,874,382,696,318,660,230
2025-03-11 15:39:12.476509,731,564,723,479,555,428,631,415,797,390,874,382,696,318,660,230
2025-03-11 15:39:12.725922,731,564,723,479,555,428,631,415,797,390,875,382,695,318,660,230
2025-03-11 15:39:12.991546,731,564,723,479,555,428,631,415,797,390,875,382,695,318,660,230
2025-03-11 15:39:13.263523,731,564,723,479,555,428,631,416,797,390,875,381,695,318,661,230
2025-03-11 15:39:13.512413,731,564,723,479,555,428,630,416,797,390,875,381,695,318,661,230
2025-03-11 15:39:13.771419,731,564,723,479,555,428,630,416,797,390,875,381,695,319,661,230
