Timestamp,Marker_0_X_mm,Marker_0_Y_mm,Marker_1_X_mm,Marker_1_Y_mm,Marker_2_X_mm,Marker_2_Y_mm,Marker_3_X_mm,Marker_3_Y_mm,Marker_4_X_mm,Marker_4_Y_mm,Marker_5_X_mm,Marker_5_Y_mm,Marker_6_X_mm,Marker_6_Y_mm,Marker_7_X_mm,Marker_7_Y_mm
2025-03-11 17:09:10.109555,,,,,,,,,,,,,,,,
2025-03-11 17:09:10.194768,363,532,,,,,,,,,,,,,,
2025-03-11 17:09:10.256775,364,532,,,,,,,,,,,,,,
2025-03-11 17:09:10.321139,364,532,1048,517,,,,,,,,,,,,
2025-03-11 17:09:10.398731,364,532,851,263,,,,,,,,,,,,
2025-03-11 17:09:10.476965,364,532,653,11,,,,,,,,,,,,
2025-03-11 17:09:10.554074,363,532,269,382,,,,,,,,,,,,
2025-03-11 17:09:10.645624,363,532,269,382,,,,,,,,,,,,
2025-03-11 17:09:10.714890,363,532,270,382,,,,,,,,,,,,
2025-03-11 17:09:10.792378,363,532,270,382,,,,,,,,,,,,
2025-03-11 17:09:10.866694,363,532,654,12,,,,,,,,,,,,
2025-03-11 17:09:10.964369,239,636,363,531,,,,,,,,,,,,
2025-03-11 17:09:11.060664,298,545,364,532,,,,,,,,,,,,
2025-03-11 17:09:11.169502,298,545,1048,522,653,11,,,,,,,,,,
2025-03-11 17:09:11.310114,364,532,1047,522,845,275,652,11,,,,,,,,
2025-03-11 17:09:11.421153,365,532,1048,522,846,275,654,12,,,,,,,,
2025-03-11 17:09:11.531476,365,532,1050,524,850,275,654,12,,,,,,,,
2025-03-11 17:09:11.657698,365,532,917,403,,,653,12,,,,,,,,
2025-03-11 17:09:11.767212,364,532,1050,525,,,653,12,,,,,,,,
2025-03-11 17:09:11.876134,364,532,1051,526,,,653,12,,,,,,,,
2025-03-11 17:09:11.973077,364,532,1051,527,10,9,653,12,,,,,,,,
2025-03-11 17:09:12.142645,239,636,364,532,1146,195,653,12,,,,,,,,
2025-03-11 17:09:12.246610,240,637,364,533,1147,195,653,12,,,,,,,,
2025-03-11 17:09:12.358762,240,636,364,532,1147,194,653,12,,,,,,,,
2025-03-11 17:09:12.470615,240,636,364,532,1146,194,653,12,,,,,,,,
2025-03-11 17:09:12.595375,240,636,1084,334,849,183,653,12,,,,,,,,
2025-03-11 17:09:12.723978,363,532,1084,335,849,184,653,12,,,,,,,,
2025-03-11 17:09:12.856678,239,635,364,532,849,184,653,12,,,,,,,,
2025-03-11 17:09:12.973165,239,636,364,532,1083,333,653,12,,,,,,,,
2025-03-11 17:09:13.104757,298,545,364,532,1083,332,653,12,,,,,,,,
2025-03-11 17:09:13.231285,298,545,364,532,1081,332,653,12,,,,,,,,
2025-03-11 17:09:13.359406,239,635,364,531,1079,331,653,12,,,,,,,,
2025-03-11 17:09:13.476252,239,635,1077,343,1078,324,653,12,,,,,,,,
2025-03-11 17:09:13.591388,363,531,838,431,1079,330,653,12,,,,,,,,
2025-03-11 17:09:13.691488,364,532,841,441,1080,329,653,12,,,,,,,,
2025-03-11 17:09:13.815436,239,635,364,532,1082,327,653,12,,,,,,,,
2025-03-11 17:09:13.923514,239,635,1306,399,1083,331,653,12,,,,,,,,
